ID,City,Parent Product Line,Product Line,Source of Contact,Sales Stage,Sales Team
1,UDUPI,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
2,KUNDAPURA,Altroz,Altroz XZ 1.2 P,Showroom Walk-in,06 Sale Closed,KK15_3009550
3,KONAJE,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
4,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
5,UDUPI,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
6,KUNDAPURA,Tiago,Tiago (P) XZ New,External Leads-Chat,07 Closed Lost,KK15_3009550
7,,Tiago,Tiago (P) XZ+ New,External Leads-Chat,02a Pink Form,KK15_3009550
8,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
9,UDUPI,Altroz,Altroz XM 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
10,KONAJE,Nexon,Nexon (P) XMA New,External Leads-Tollfree,07 Closed Lost,KK15_3009550
11,KADEKAR,Altroz,Altroz XE 1.2 P Rhytm,Cold Calling,06 Sale Closed,KK15_3009550
12,92 HEROOR,Nexon,Nexon (P) XZ+ New,Showroom Walk-in,06 Sale Closed,KK15_3009550
13,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
14,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
15,UDUPI,Tiago,Tiago (P) XE New,External Leads-Tollfree,07 Closed Lost,KK15_3009550
16,KONAJE,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
17,UDUPI,Nexon,Nexon (D) XMA New,External Leads-Dealer Website,07 Closed Lost,KK15_3009550
18,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
19,UDUPI,Nexon,Nexon (D) XZ+ New,Cold Calling,07 Closed Lost,KK15_3009550
20,UDUPI,Altroz,Altroz XE 1.5 D,External Leads-Web,07 Closed Lost,KK15_3009550
21,UDUPI,Tiago,Tiago (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
22,UDUPI,Nexon,Nexon (P) XZ+ (S) New,External Leads-BAP,06 Sale Closed,KK15_3009550
23,KONAJE,Tiago,Tiago (P) XZA New,External Leads-Web,07 Closed Lost,KK15_3009550
24,UDUPI,Altroz,Altroz XT 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
25,UDUPI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
26,TENKA,Harrier,Harrier XZA+,External Leads-Web,07 Closed Lost,KK15_3009550
27,UDUPI,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
28,UDUPI,Altroz,Altroz XM+ 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
29,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
30,UDUPI,Nexon,Nexon (P) XZ+ New,External Leads-Web,06 Sale Closed,KK15_3009550
31,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
32,KUNDAPURA,Nexon,Nexon (P) XM New,Referral,06 Sale Closed,KK15_3009550
33,KUNDAPURA,Nexon,Nexon (D) XZA+ (O) New,Cold Calling,02a Pink Form,KK15_3009550
34,KONAJE,Tiago,Tiago (P) XZ+ New,External Leads-Web,07 Closed Lost,KK15_3009550
35,,Tiago,Tiago (P) XZ+ New,Call to Dealer,06 Sale Closed,KK15_3009550
36,UDUPI,Nexon,Nexon (P) XZ+ New,Showroom Walk-in,07 Closed Lost,KK15_3009550
37,KUNDAPURA,Tiago,Tiago (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
38,BADAGABETTU (NO.80),Altroz,Altroz XE 1.2 P Rhytm,External Leads-Tollfree,06 Sale Closed,KK15_3009550
39,UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
40,UDUPI,Nexon,Nexon (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
41,UDUPI,Altroz,Altroz XT 1.2 P,Showroom Walk-in,07 Closed Lost,KK15_3009550
42,,Altroz,Altroz XT 1.2 P,Call to Dealer,06 Sale Closed,KK15_3009550
43,BADAGABETTU (NO.80),Nexon,Nexon (D) XM New,Referral,06 Sale Closed,KK15_3009550
44,ACHALADY,Altroz,Altroz XT 1.2 P,Referral,06 Sale Closed,KK15_3009550
45,UDUPI,Tiago,Tiago (P) XT New,External Leads-Web,07 Closed Lost,KK15_3009550
46,UDUPI,Tigor,Tigor (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
47,UDUPI,Tigor,Tigor (P) XMA New,External Leads-Web,07 Closed Lost,KK15_3009550
48,UDUPI,Nexon,Nexon (P) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
49,KOPPAL,Tigor,Tigor (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
50,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,KK15_3009550
51,UDUPI,Nexon,Nexon (D) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
52,UDUPI,Tiago,Tiago (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
53,UDUPI,Altroz,Altroz XT 1.5 D,Showroom Walk-in,07 Closed Lost,KK15_3009550
54,UDUPI,Nexon,Nexon (P) XZ New,External Leads-Web,07 Closed Lost,KK15_3009550
55,AMTOOR,Nexon EV,Nexon EV XM,External Leads-Web,07 Closed Lost,KK15_3009550
56,PERDOOR,Punch,Punch Adventure,Cold Calling,06 Sale Closed,KK15_3009550
57,KUMRAGOD,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Referral,02a Pink Form,KK15_3009550
58,41 SHIROOR,Tiago,Tiago XE CNG,External Leads-Web,07 Closed Lost,KK15_3009550
59,BEGUVALLI,Nexon EV,Nexon EV XZ+ Lux,External Leads-Web,07 Closed Lost,KK15_3009550
60,33 SHIROOR,Nexon,Nexon (P) XE New,External Leads-Web,07 Closed Lost,KK15_3009550
61,KOTESHWAR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
62,BEGUVALLI,Nexon EV,Nexon EV XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
63,NITTUR,Nexon EV,Nexon EV XM,Call to Dealer,07 Closed Lost,KK15_3009550
64,MOODUTHONSE,Nexon EV,Nexon EV XM,Referral,07 Closed Lost,KK15_3009550
65,KARKAL,Nexon EV 2.0,Nexon EV 2.0 XZ+,Call to Dealer,07 Closed Lost,KK15_3009550
66,INDRA NAGAR,Nexon EV 2.0,Nexon EV 2.0 XZ+,Showroom Walk-in,07 Closed Lost,KK15_3009550
67,BENGALURU,Nexon EV,Nexon EV Dark XZ+ Lux,Referral,03 Open Yellow / Booked,KK15_3009550
68,UDUPI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,KK15_3009550
69,MATPADY,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux AC FC WMU,Call to Dealer,06 Sale Closed,KK15_3009550
70,108 KALTHUR,Punch,Punch Creative,External Leads-Web,07 Closed Lost,KK15_3009550
71,KUNDAPURA,Nexon EV 2.0,Nexon EV 2.0 XZ+ Lux,Referral,07 Closed Lost,KK15_3009550
